Urban,PCTGQTRS,HUNVFlag,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT 0 Some college or associate's degree,Total; Estimate; Some college no degree
1,0.0164103,0,5.5,23.8
1,0,0,21.1,22.4
1,0.0046899,0,9.1,17.9
1,0.0057841,1,10.8,20.2
1,0.0058304,1,4.8,24.6
1,0,0,10.8,27.9
1,0,0,5,28.4
1,0.0025494,0,0,37.8
1,0.0049816,0,11.4,28.4
1,0.0187982,0,2.4,28.9
1,0.0457769,0,6.3,28.5
1,0,0,7.3,28.8
1,0,0,3.6,28.6
1,0,0,0,0
1,0.2394366,0,0,0
1,0.087037,0,0,23.7
0,0.0204255,0,3.9,28.4
0,0,0,11.3,32.9
0,0,0,12.8,26.1
0,0.0021404,0,5.8,26.1
0,0.7085676,0,6.5,21.3
0,0.0053223,0,1.7,28.7
0,0,0,5.2,26.6
0,0.0292829,1,6.3,37.6
0,0.0411392,0,4.7,28.4
0,0.0040067,0,5.3,30.9
1,0.0041026,0,6.2,24
1,0,0,9.5,37.7
1,0.0056778,1,10.1,27.3
1,0,0,6,34
1,0.0002686,0,1.9,33.8
1,0.1219955,1,8.1,28
1,0,0,0,12.4
1,0,0,8.5,27.6
1,0,1,12.4,25.1
1,0,0,0,26.3
1,0,0,2.1,27.8
1,0.3009585,0,5.6,22.1
1,0.0803889,0,25.7,33.6
1,0.0004261,0,20.3,22.2
1,0.0032106,1,6.8,24.9
1,0,0,0,25
1,0.0215792,0,11.6,28
1,0.0487564,1,5.2,26.4
1,0.0349927,0,18.9,35.7
1,0.0853018,1,8.4,34.9
1,0.0033746,1,12.1,28.1
1,0.0702806,1,11.4,25.3
0,0.0034501,0,2.8,27.1
0,0.0016991,0,5.7,28.9
0,0.0136726,0,3.9,28.3
1,0,0,10.1,39.4
1,0,0,0,34.4
0,0,0,6.3,37.4
1,0.0234043,0,7.1,34.2
1,0.0257931,0,8.7,32
1,0.0048225,1,3.4,31.3
1,0.0221787,0,6.2,25.8
0,0.0040729,1,5.5,34.3
0,0.0112549,0,7.4,30.1
0,0,0,15.7,29.4
0,0.125355,1,14.4,31.9
0,0.0043029,0,13.9,23.7
1,0,0,8.9,33.2
1,0.0299379,1,0,25.8
1,0.0107602,1,19.1,28.1
1,0.0183007,0,7.6,27.9
1,0.0066879,0,37.1,21.6
1,0.0181252,1,15,29.4
1,0.0127389,1,3.3,29
0,0.007794,1,11.3,26.6
0,0,0,7.2,26.6
0,0.0040595,0,3.6,23.4
1,0,0,11.2,30.1
1,0.02438,0,6.5,15.5
0,0,0,20.1,29.8
1,0.008879,1,10.1,21
0,0,0,0,33.4
1,0.010531,0,0,36.4
0,0.0242215,0,8.1,34.3
0,0.0007357,0,5.5,36.7
1,0.0016319,0,8.6,33.1
0,0.0473526,0,10.8,22.3
0,0.000248,1,10.8,22.8
0,0,0,1.8,27.8
0,0,0,13.5,25.7
0,0.0010616,0,0,35.9
0,0,0,4.6,19.7
1,0.0115212,0,8.4,30.5
1,0.0180017,0,6.3,18
0,0.0212425,0,4.2,20.6
0,0.0015595,0,19.1,25.7
1,0.0038262,0,7.2,30.5
1,0.0100121,0,13.9,26.5
1,0.0018523,0,5.7,31.4
1,0.0015755,0,8,28.1
1,0.0007774,1,10.2,29.1
1,0.0012409,0,2.6,21
1,0.0013946,0,7.2,35
1,0.0002623,0,11.8,22.7
0,0.0101739,0,6.4,22.5
1,0.0047052,0,7.7,34.3
1,0.0015537,0,11.5,25.3
1,0.0018843,0,5.8,23.2
1,0.0011956,0,6.1,26.9
1,0.0010832,0,7.6,28.6
1,0.0059172,0,6.3,30.9
0,0.0701262,0,0,26.3
1,0.0107777,0,6.3,33.4
